,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
175,Beavis and Butt-Head Do America,1996.0,(Banned),81,"Animation, Adventure, Comedy",6.8,64.0,Mike Judge,59310.0,63.12
176,Onward,2020.0,P13,102,"Animation, Adventure, Comedy",7.4,61.0,Dan Scanlon,159953.0,61.56
177,Abominable,2019.0,(Banned),97,"Animation, Adventure, Comedy",7.0,61.0,Jill Culton,40838.0,60.72
178,Fantasia 2000,1999.0,U,75,"Animation, Family, Fantasy",7.1,59.0,James Algar,40161.0,60.66
179,The Lego Ninjago Movie,2017.0,U,101,"Animation, Action, Adventure",6.0,55.0,Charlie Bean,28357.0,59.28
180,Planes: Fire & Rescue,2014.0,P13,83,"Animation, Adventure, Comedy",5.9,48.0,Bobs Gannaway,19080.0,59.17
181,Surf's Up,2007.0,U,85,"Animation, Adventure, Comedy",6.7,64.0,Ash Brannon,85992.0,58.87
182,Curious George,2006.0,,87,"Animation, Adventure, Comedy",6.5,62.0,Matthew O'Callaghan,17489.0,58.64
183,The Croods: A New Age,2020.0,PG,95,"Animation, Adventure, Comedy",6.9,56.0,Joel Crawford,48924.0,58.57
184,Anastasia,1997.0,U,94,"Animation, Adventure, Drama",7.1,61.0,Don Bluth,130554.0,58.41
185,The Boss Baby: Family Business,2021.0,PG,107,"Animation, Adventure, Comedy",5.9,39.0,Tom McGrath,20557.0,57.3
186,Escape from Planet Earth,2012.0,PG,89,"Animation, Adventure, Comedy",5.8,35.0,Cal Brunker,26391.0,57.01
187,The Addams Family 2,2021.0,PG,93,"Animation, Adventure, Comedy",5.4,37.0,Conrad Vernon,14468.0,56.49
188,The Curse of the Were-Rabbit,2005.0,U,85,"Animation, Adventure, Comedy",7.5,87.0,Steve Box,141265.0,56.11
189,ParaNorman,2012.0,P13,92,"Animation, Adventure, Comedy",7.0,72.0,Chris Butler,106526.0,56.0
190,Free Birds,2013.0,PG,91,"Animation, Adventure, Comedy",5.8,38.0,Jimmy Hayward,25191.0,55.75
191,Legend of the Guardians: The Owls of Ga'Hoole,2010.0,U,97,"Animation, Action, Adventure",6.9,53.0,Zack Snyder,85563.0,55.68
192,Raya and the Last Dragon,2021.0,PG,107,"Animation, Action, Adventure",7.3,74.0,Don Hall,161749.0,54.72
193,TMNT,2007.0,U,87,"Animation, Action, Adventure",6.2,41.0,Kevin Munroe,66653.0,54.15
194,Corpse Bride,2005.0,U,77,"Animation, Drama, Family",7.3,83.0,Tim Burton,286062.0,53.36
195,"South Park: Bigger, Longer & Uncut",1999.0,(Banned),81,"Animation, Comedy, Fantasy",7.7,73.0,Trey Parker,210603.0,52.04
196,Sleeping Beauty,1959.0,G,75,"Animation, Adventure, Family",7.2,85.0,Les Clark,155344.0,51.6
197,Hoodwinked!,2005.0,PG,80,"Animation, Adventure, Comedy",6.5,45.0,Cory Edwards,64244.0,51.39
198,The Tale of Despereaux,2008.0,,93,"Animation, Adventure, Comedy",6.1,53.0,Sam Fell,39221.0,50.88
199,The Road to El Dorado,2000.0,U,89,"Animation, Adventure, Comedy",6.9,51.0,Bibo Bergeron,102514.0,50.86
200,The Boxtrolls,2014.0,PG,96,"Animation, Adventure, Comedy",6.8,61.0,Graham Annable,60005.0,50.84
201,The Book of Life,2014.0,PG,95,"Animation, Adventure, Comedy",7.2,67.0,Jorge R. Gutiérrez,74720.0,50.15
202,Home on the Range,2004.0,PG,76,"Animation, Adventure, Comedy",5.4,50.0,Will Finn,24718.0,50.03
203,Clifford the Big Red Dog,2021.0,P13,96,"Animation, Adventure, Comedy",5.9,55.0,Walt Becker,15316.0,48.95
204,Return to Never Land,2002.0,U,72,"Animation, Adventure, Family",5.8,49.0,Robin Budd,21412.0,48.43
205,The Land Before Time,1988.0,U,69,"Animation, Adventure, Drama",7.4,66.0,Don Bluth,94577.0,48.09
206,Kubo and the Two Strings,2016.0,P13,101,"Animation, Action, Adventure",7.7,84.0,Travis Knight,134687.0,48.02
207,The Jungle Book 2,2003.0,U,72,"Animation, Adventure, Comedy",5.3,38.0,Steve Trenbirth,17287.0,47.89
208,Kimetsu no Yaiba: Mugen Ressha-Hen,2020.0,P13,117,"Animation, Action, Adventure",8.2,72.0,Haruo Sotozaki,66278.0,47.7
209,An American Tail,1986.0,U,80,"Animation, Adventure, Comedy",6.9,38.0,Don Bluth,56130.0,47.48
210,"Lyle, Lyle, Crocodile",2022.0,PG,106,"Animation, Adventure, Comedy",6.1,51.0,Josh Gordon,12450.0,46.89
211,Tom and Jerry,2021.0,PG,101,"Animation, Adventure, Comedy",5.2,32.0,Tim Story,37707.0,46.54
212,Arthur Christmas,2011.0,U,97,"Animation, Adventure, Comedy",7.1,69.0,Sarah Smith,63499.0,46.46
213,The Tigger Movie,2000.0,,77,"Animation, Adventure, Comedy",6.3,53.0,Jun Falkenstein,19754.0,45.55
214,Wonder Park,2019.0,P13,85,"Animation, Adventure, Comedy",5.8,45.0,Dylan Brown,12390.0,45.22
215,Smurfs: The Lost Village,2017.0,PG,90,"Animation, Adventure, Comedy",6.0,40.0,Kelly Asbury,23039.0,45.02
216,Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan,1999.0,,84,"Animation, Action, Adventure",6.0,28.0,Kunihiko Yuyama,23117.0,43.76
217,Cats & Dogs: The Revenge of Kitty Galore,2010.0,U,82,"Animation, Action, Adventure",4.3,30.0,Brad Peyton,15817.0,43.59
218,Sherlock Gnomes,2018.0,U,86,"Animation, Adventure, Comedy",5.2,36.0,John Stevenson,13353.0,43.24
219,Planet 51,2009.0,U,91,"Animation, Adventure, Comedy",6.0,39.0,Jorge Blanco,57201.0,42.09
220,The Angry Birds Movie 2,2019.0,P13,97,"Animation, Action, Adventure",6.4,60.0,Thurop Van Orman,32756.0,41.66
221,The Star,2017.0,PG,86,"Animation, Adventure, Comedy",6.2,42.0,Timothy Reckart,8763.0,40.85
222,PAW Patrol: The Movie,2021.0,P13,86,"Animation, Action, Adventure",6.1,50.0,Cal Brunker,7249.0,40.13
223,The Wild Thornberrys Movie,2002.0,PG,85,"Animation, Adventure, Comedy",5.6,69.0,Cathy Malkasian,15033.0,40.11
224,Pete's Dragon,1977.0,,128,"Animation, Adventure, Comedy",6.3,46.0,Don Chaffey,25758.0,40.1
225,Rugrats Go Wild,2003.0,U,81,"Animation, Adventure, Comedy",5.5,38.0,John Eng,8716.0,39.4
226,The Great Mouse Detective,1986.0,U,74,"Animation, Adventure, Family",7.1,73.0,Ron Clements,52262.0,38.6
227,Treasure Planet,2002.0,PG,95,"Animation, Adventure, Family",7.2,60.0,Ron Clements,126406.0,38.18
