,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
180,Planes: Fire & Rescue,(2014),P13,83 min,"Animation, Adventure, Comedy",5.9,48        ,Bobs Gannaway,"19,080",$59.17M
181,Surf's Up,(2007),U,85 min,"Animation, Adventure, Comedy",6.7,64        ,Ash Brannon,"85,992",$58.87M
182,Curious George,(2006),,87 min,"Animation, Adventure, Comedy",6.5,62        ,Matthew O'Callaghan,"17,489",$58.64M
183,The Croods: A New Age,(2020),PG,95 min,"Animation, Adventure, Comedy",6.9,56        ,Joel Crawford,"48,924",$58.57M
184,Anastasia,(1997),U,94 min,"Animation, Adventure, Drama",7.1,61        ,Don Bluth,"130,554",$58.41M
185,The Boss Baby: Family Business,(2021),PG,107 min,"Animation, Adventure, Comedy",5.9,39        ,Tom McGrath,"20,557",$57.30M
186,Escape from Planet Earth,(2012),PG,89 min,"Animation, Adventure, Comedy",5.8,35        ,Cal Brunker,"26,391",$57.01M
187,The Addams Family 2,(2021),PG,93 min,"Animation, Adventure, Comedy",5.4,37        ,Conrad Vernon,"14,468",$56.49M
188,The Curse of the Were-Rabbit,(2005),U,85 min,"Animation, Adventure, Comedy",7.5,87        ,Steve Box,"141,265",$56.11M
189,ParaNorman,(2012),P13,92 min,"Animation, Adventure, Comedy",7.0,72        ,Chris Butler,"106,526",$56.00M
190,Free Birds,(2013),PG,91 min,"Animation, Adventure, Comedy",5.8,38        ,Jimmy Hayward,"25,191",$55.75M
191,Legend of the Guardians: The Owls of Ga'Hoole,(2010),U,97 min,"Animation, Action, Adventure",6.9,53        ,Zack Snyder,"85,563",$55.68M
192,Raya and the Last Dragon,(2021),PG,107 min,"Animation, Action, Adventure",7.3,74        ,Don Hall,"161,749",$54.72M
193,TMNT,(2007),U,87 min,"Animation, Action, Adventure",6.2,41        ,Kevin Munroe,"66,653",$54.15M
194,Corpse Bride,(2005),U,77 min,"Animation, Drama, Family",7.3,83        ,Tim Burton,"286,062",$53.36M
195,"South Park: Bigger, Longer & Uncut",(1999),(Banned),81 min,"Animation, Comedy, Fantasy",7.7,73        ,Trey Parker,"210,603",$52.04M
196,Sleeping Beauty,(1959),G,75 min,"Animation, Adventure, Family",7.2,85        ,Les Clark,"155,344",$51.60M
197,Hoodwinked!,(2005),PG,80 min,"Animation, Adventure, Comedy",6.5,45        ,Cory Edwards,"64,244",$51.39M
198,The Tale of Despereaux,(2008),,93 min,"Animation, Adventure, Comedy",6.1,53        ,Sam Fell,"39,221",$50.88M
199,The Road to El Dorado,(2000),U,89 min,"Animation, Adventure, Comedy",6.9,51        ,Bibo Bergeron,"102,514",$50.86M
200,The Boxtrolls,(2014),PG,96 min,"Animation, Adventure, Comedy",6.8,61        ,Graham Annable,"60,005",$50.84M
201,The Book of Life,(2014),PG,95 min,"Animation, Adventure, Comedy",7.2,67        ,Jorge R. Gutiérrez,"74,720",$50.15M
202,Home on the Range,(2004),PG,76 min,"Animation, Adventure, Comedy",5.4,50        ,Will Finn,"24,718",$50.03M
203,Clifford the Big Red Dog,(2021),P13,96 min,"Animation, Adventure, Comedy",5.9,55        ,Walt Becker,"15,316",$48.95M
204,Return to Never Land,(2002),U,72 min,"Animation, Adventure, Family",5.8,49        ,Robin Budd,"21,412",$48.43M
